Variable,rb,rnb,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Coefficient of variation,Skewness,Kurtosis,Smax,Smax/Var
Non-breeding,0.9,-0.5,59.898964637504605,56.86826102354532,3.0307036139592824,1.7727590759976501,3.1426747415320424,0.5527498014248063,0.3241865645934143,0.17199641973155766,0.031186988322201438,-0.17653788319264427,0.1760743099563115,0.2880065061326104,0.09164375247824988
Breeding,0.9,-0.5,34.73751807155607,33.21335651179846,1.5241615597576086,1.4552056160417934,2.1176233849595754,0.5658322555886041,0.32763170329393637,0.17525835036705775,0.043890507245628825,-0.1081006411208745,-0.06937496886490525,0.19564327021441366,0.09238813266040147
Non-breeding,0.9,-0.4,68.54126072815875,65.73777296268018,2.8034877654785646,1.6599565970888588,2.755455904218824,0.45585017214941975,0.2194520503411662,0.08816054899245435,0.02525163278537967,-0.1377869802297251,0.22902746932454993,0.223117161559835,0.08097286594868919
Breeding,0.9,-0.4,43.704034309687586,42.161747861580096,1.5422864481074896,1.6079821066021653,2.585606455152737,0.47093771353417013,0.22236016570852987,0.08765383735740288,0.03816936807581462,-0.0805159079469305,-0.04386962582834839,0.20561385215045744,0.07952248562061677
Non-breeding,0.9,-0.3,75.36970079076471,72.768894093735,2.600806697029711,1.5716763359865702,2.47016650510017,0.3631585913483494,0.13354015618308268,0.035826669981492046,0.02159299728399091,-0.07882557906083185,0.23972079948247768,0.17880190988253816,0.0723845576860364
Breeding,0.9,-0.3,52.8957870345607,51.31837899118165,1.5774080433790445,1.7504734588225779,3.064157330042279,0.37825779740625254,0.1364410188133038,0.03124883587742318,0.03411416971155873,-0.047494043012288704,-0.0012265884677855811,0.2133651494468733,0.0696325698928551
Non-breeding,0.9,-0.2,80.6110687119252,78.13531956235627,2.4757491495689266,1.5396786812947507,2.3706104416335423,0.27371026338271526,0.06424763554736726,0.0045691296388461955,0.01969622912136633,-0.012365917272083733,0.1963751332308943,0.15239219678952365,0.06428394733827002
Breeding,0.9,-0.2,62.32963868697316,60.6601738967013,1.66946479027186,1.8960228437334732,3.594902623959167,0.28671585659618554,0.06778093233369697,-0.0014362500006933707,0.031241721532808877,-0.016589572595735617,0.05873822190771237,0.22834057622890186,0.06351787520114356
Non-breeding,0.9,-0.1,84.45044184248341,82.00525367799865,2.4451881644847617,1.5762649655045842,2.484611241477168,0.1861370160910976,0.012031972463437157,-0.013737057426899412,0.019206420901564943,0.036170203254967004,0.13987141445432663,0.14213510163133944,0.05720617344821973
Breeding,0.9,-0.1,72.00398681761965,70.17070941352087,1.83327740409878,2.0591855748395393,4.240245231627244,0.19589528326972633,0.015551728893790468,-0.016674383349332796,0.029317800779654783,0.005641911874783494,0.130968657963859,0.23757233517198806,0.05602797059943084
Non-breeding,0.9,0.0,87.05262953696447,84.56602322893548,2.486606308028996,1.6773000393426696,2.813335421978921,0.09931497802237876,-0.021019556281698156,-0.023105117750627253,0.01981300356074882,0.04726067024138891,0.11907907338559175,0.1409371051885818,0.050096090244882915
Breeding,0.9,0.0,81.90863928101012,79.83400397242801,2.074635308582117,2.2561878303693024,5.090383525906541,0.105739957364288,-0.020148104572071085,-0.02006437376067804,0.028225082143798295,0.014225633269338478,0.20777610632952587,0.24530779717025614,0.048190435145369435
Non-breeding,1.0,-0.9,22.00673341312784,18.94833992865801,3.0583934844698284,1.9420362292245341,3.7715047156206474,0.8873318963384684,0.8035720208896384,0.7268886023049449,0.10374401656752902,-0.006214246475942349,-0.050723048016281455,0.529061606325167,0.14027865433494582
Breeding,1.0,-0.9,8.723977399789648,7.611721338407746,1.1122560613819026,0.84467983228184,0.7134840190636772,0.8889336212368015,0.8042161693158995,0.7275964678635216,0.11256524899539833,0.034660311265000736,-0.11696589159368231,0.0996168678035659,0.139620321046988
Non-breeding,1.0,-0.8,39.19113920074372,35.72200807119943,3.4691311295442873,2.211628253718585,4.891299532646318,0.7687005049012208,0.6154357391681642,0.4862646237893366,0.06219661871970145,-0.1638538212972647,0.06442546956499962,0.6880287418324027,0.14066379236034263
Breeding,1.0,-0.8,17.025953040283785,15.681513215802878,1.3444398244809062,1.1487743736041773,1.31968256144967,0.774545303296767,0.6180739951319191,0.4896847668571223,0.07373601598132053,-0.09765013155719748,-0.07072650559722941,0.18569275604149563,0.14071016884356818
Non-breeding,1.0,-0.7,53.58085810044569,49.999397920782066,3.5814601796636225,2.2041973454030326,4.858485937481775,0.657335351745541,0.45695851669975,0.30341570554740027,0.044181271502334536,-0.19868230413075028,0.08299237536164375,0.5465902614779818,0.11250218041410812
Breeding,1.0,-0.7,25.516470586525244,24.023415014057353,1.4930555724678918,1.374804453712266,1.890087285947082,0.6683839302976566,0.4614458980771946,0.308753064193896,0.05745035900738573,-0.121130972971472,-0.090300041306289,0.21485658103010224,0.11367548082439073
