Realisation number,Variable,index,Lag-2 AC,Lag-1 AC,Coefficient of variation,Smax/Mean,Skewness,Kurtosis,Standard deviation,Smax,Variance,Lag-3 AC,Smax/Var,Cross correlation
33,Non-breeding,0,0.09666961391099321,0.953433539640436,0.11847922192749777,0.06666666666666665,0.21839080459770113,-0.36575302092543466,-0.9504862953138814,-0.7333333333333333,-0.9504862953138814,0.6704980842911877,0.06666666666666665,-0.19277220364176886
33,Breeding,0,0.39522546419098137,0.9171824344238135,0.14795166519304448,-0.06666666666666665,0.15974064249926315,0.36044798113763626,-0.9893899204244031,-0.8666666666666666,-0.9893899204244031,0.3790156203949307,0.2,-0.19277220364176886
34,Non-breeding,0,0.3513115237253168,0.882110226937813,0.8882994400235779,0.4666666666666666,-0.3955201886236368,0.798113763631005,-0.9696433834364868,-0.6,-0.9696433834364868,0.7282640730916592,0.6,0.5534188034188035
34,Breeding,0,0.43236074270557023,0.8930150309460654,0.8187444739168875,0.6,-0.3471853816681403,0.1308576480990274,-0.9817270851753609,-0.8666666666666666,-0.9817270851753609,0.5157677571470675,0.7333333333333333,0.5534188034188035
35,Non-breeding,0,-0.09784851164161508,0.9646330680813439,0.5402298850574712,-0.3333333333333333,0.45122310639552016,-0.03772472737989979,-0.9557913351016797,-0.8666666666666666,-0.9557913351016797,0.5652814618331858,-0.2,-0.4548494983277592
35,Breeding,0,-0.2487474211612142,0.9050987326849395,0.46419098143236065,-0.8666666666666666,0.5086943707633362,0.5982905982905982,-0.9849690539345711,-0.9999999999999999,-0.9849690539345711,0.23076923076923075,0.2,-0.4548494983277592
36,Non-breeding,0,0.5151783082817565,0.8924255820807544,0.6799292661361627,-0.3333333333333333,-0.7288535219569702,0.12732095490716178,-0.9734748010610079,-0.9999999999999999,-0.9734748010610079,-0.4037724727379899,0.4666666666666666,0.40078037904124864
36,Breeding,0,0.5838491010904803,0.815207780725022,-0.27026230474506335,-0.8666666666666666,-0.3442381373415856,-0.16592985558502799,-0.9858532272325374,-0.9999999999999999,-0.9858532272325374,-0.6675508399646329,0.3333333333333333,0.40078037904124864
37,Non-breeding,0,0.7241379310344827,0.8776893604479811,0.5260831122900088,-0.3333333333333333,0.6056587091069848,-0.2894193928676687,-0.9381078691423518,-0.7333333333333333,-0.9381078691423518,0.3174182139699381,0.4666666666666666,0.6335005574136009
37,Breeding,0,0.5587975243147656,0.7972295903330384,0.5888594164456232,-0.3333333333333333,-0.5128205128205128,0.3704686118479222,-0.9820218096080164,-0.9999999999999999,-0.9820218096080164,0.039787798408488055,0.7333333333333333,0.6335005574136009
38,Non-breeding,0,0.5576186265841437,0.9557913351016797,0.8803418803418803,0.4666666666666666,0.37194223401119947,0.5708812260536398,-0.9643383436486883,-0.3333333333333333,-0.9643383436486883,-0.07427055702917772,0.6,-0.010869565217391306
