Realisation number,Variable,index,Coefficient of variation,Lag-2 AC,Kurtosis,Variance,Lag-3 AC,Smax/Var,Standard deviation,Skewness,Smax,Lag-1 AC,Cross correlation
22,Breeding,0,0.30496453900709225,-0.4042553191489362,0.725177304964539,-0.950354609929078,-0.22340425531914895,-0.37777777777777777,-0.950354609929078,0.5035460992907802,-0.9999999999999999,0.5620567375886526,0.6666666666666667
22,Total,0,0.7145390070921986,0.030141843971631208,0.5691489361702128,-0.8829787234042553,-0.16134751773049646,-0.1111111111111111,-0.8829787234042553,0.5159574468085106,-0.9555555555555554,0.7127659574468086,0.6666666666666667
23,Non-breeding,0,0.9556737588652483,-0.22517730496453903,0.7606382978723405,-0.9148936170212767,-0.3209219858156029,0.28888888888888886,-0.9148936170212767,-0.1719858156028369,-0.6444444444444444,-0.11170212765957448,0.7960992907801419
23,Breeding,0,0.8812056737588653,-0.21099290780141847,0.07269503546099292,-0.8404255319148938,-0.25886524822695034,0.1111111111111111,-0.8404255319148938,0.2872340425531915,-0.6,0.9113475177304966,0.7960992907801419
23,Total,0,0.9326241134751774,-0.2375886524822695,0.524822695035461,-0.8386524822695036,-0.4450354609929078,0.37777777777777777,-0.8386524822695036,0.07092198581560284,-0.1111111111111111,0.7819148936170214,0.7960992907801419
24,Non-breeding,0,0.9574468085106383,0.700354609929078,-0.5319148936170213,-0.9521276595744681,0.7464539007092199,0.3333333333333333,-0.9521276595744681,-0.023049645390070924,-0.24444444444444444,0.7854609929078015,0.7340425531914894
24,Breeding,0,0.8085106382978724,0.4539007092198582,0.29078014184397166,-0.923758865248227,0.5602836879432624,0.28888888888888886,-0.923758865248227,0.4024822695035461,-0.5555555555555555,0.75,0.7340425531914894
24,Total,0,0.921985815602837,0.5531914893617023,0.4964539007092199,-0.9414893617021277,0.5939716312056738,0.4222222222222222,-0.9414893617021277,0.3776595744680852,-0.15555555555555553,0.8138297872340426,0.7340425531914894
25,Non-breeding,0,0.9131205673758866,0.725177304964539,0.4308510638297873,-0.9095744680851066,0.13297872340425532,-0.06666666666666667,-0.9095744680851066,-0.3794326241134752,-0.4222222222222222,0.9131205673758866,0.3085106382978724
25,Breeding,0,0.9397163120567377,0.06914893617021278,0.8386524822695036,-0.874113475177305,-0.10815602836879433,-0.06666666666666667,-0.874113475177305,0.7624113475177307,-0.7777777777777777,0.8918439716312057,0.3085106382978724
25,Total,0,0.9255319148936171,0.4450354609929078,0.5780141843971631,-0.8368794326241136,-0.06737588652482271,-0.022222222222222223,-0.8368794326241136,0.5265957446808511,-0.6888888888888888,0.9273049645390072,0.3085106382978724
26,Non-breeding,0,0.6879432624113476,0.7358156028368795,-0.29078014184397166,-0.9326241134751774,0.06382978723404256,0.19999999999999998,-0.9326241134751774,-0.3971631205673759,-0.8222222222222221,0.3439716312056738,0.6241134751773051
26,Breeding,0,0.5088652482269503,-0.8528368794326242,0.3563829787234043,-0.9273049645390072,-0.41489361702127664,-0.4666666666666666,-0.9273049645390072,-0.36524822695035464,-0.9999999999999999,-0.33865248226950356,0.6241134751773051
26,Total,0,0.7375886524822696,-0.5709219858156029,0.37056737588652483,-0.9273049645390072,-0.18794326241134754,0.06666666666666667,-0.9273049645390072,-0.3865248226950355,-0.8222222222222221,0.17021276595744683,0.6241134751773051
27,Non-breeding,0,0.8368794326241136,0.597517730496454,0.601063829787234,-0.9308510638297873,-0.23581560283687944,0.28888888888888886,-0.9308510638297873,-0.25354609929078015,-0.6444444444444444,0.35992907801418444,0.7819148936170214
27,Breeding,0,0.6542553191489362,0.7801418439716313,0.6737588652482269,-0.8882978723404256,0.07269503546099292,-0.15555555555555553,-0.8882978723404256,0.17021276595744683,-0.6,0.4822695035460993,0.7819148936170214
27,Total,0,0.8280141843971632,0.7304964539007093,0.5567375886524824,-0.822695035460993,-0.4113475177304965,0.06666666666666667,-0.822695035460993,0.1365248226950355,-0.4666666666666666,0.6099290780141845,0.7819148936170214
28,Non-breeding,0,0.6631205673758865,0.1471631205673759,-0.7145390070921986,-0.8705673758865249,0.16134751773049646,0.1111111111111111,-0.8705673758865249,0.5124113475177305,-0.37777777777777777,0.7127659574468086,0.6028368794326241
28,Breeding,0,0.25886524822695034,-0.34751773049645396,-0.1595744680851064,-0.8031914893617021,-0.4095744680851064,0.4666666666666666,-0.8031914893617021,0.29609929078014185,-0.37777777777777777,0.48758865248226957,0.6028368794326241
28,Total,0,0.4858156028368795,-0.25354609929078015,-0.30496453900709225,-0.7535460992907802,-0.21276595744680854,0.37777777777777777,-0.7535460992907802,0.41489361702127664,-0.4666666666666666,0.7464539007092199,0.6028368794326241
29,Non-breeding,0,0.8510638297872342,0.5780141843971631,0.19858156028368795,-0.9113475177304966,0.7765957446808511,0.06666666666666667,-0.9113475177304966,-0.021276595744680854,-0.8222222222222221,0.5656028368794327,0.2801418439716312
