Variable,Time,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Coefficient of variation,Skewness,Kurtosis,Smax,Smax/Var,Smax/Mean,Cross correlation
Non-breeding,92,2.0607628800573843,1.9463809543562072,3.991434287132706,1.0046729840683781,15.021870317371787,0.29639687330268294,0.20217616047998546,0.32449343871607933,0.013004325288036203,0.2388086118054724,0.5192416535467924,,,,0.1421818031403441
Non-breeding,94,4.30557673639877,1.9542742386677356,2.53838528416991,1.1183731334837523,16.435000612002614,0.36021923529074545,0.2131048682809341,0.3401518423754705,0.014679964057780904,0.3154112209250686,0.4276842633409129,,,,0.202397738515517
Non-breeding,96,2.078879661682229,1.9218492344015674,2.01238431616468,1.0744940106996692,15.713170323691118,0.36527547828840945,0.23489896156613863,0.33476268918094315,0.014326220372504772,0.2761829771210946,0.35609652199195535,,,,0.16926585562272228
Non-breeding,98,9.748822990401047,1.8529928122977632,10.153477653074814,1.2749128510388168,19.18748259819618,0.3492163457144815,0.2057945756446355,0.341296762514727,0.01688286739713512,0.18910812435798727,0.3867637353834673,4.478700869226827,0.07166965874024647,0.059817850591782504,0.13898766666517154
Non-breeding,100,4.598942816147383,1.7563235483109674,6.19694202657714,1.069029401851045,15.696753187138782,0.3413629050765961,0.16678078245774963,0.2616029972580574,0.014616246051319986,0.16580351417540193,0.2898067934225517,,,,0.1441176088918377
Non-breeding,102,3.0370290172777974,1.642975023642509,1.9125788781090813,1.0681777327537108,15.690638119778207,0.34294400567542543,0.17252796932608924,0.25527336160205044,0.014875420560490613,0.19639152702033666,0.28642537749768254,,,,0.14195033586398412
Non-breeding,104,5.040554843693663,1.5245456865449547,4.282796919901991,1.0381397187697758,15.10094083876388,0.3797482568767802,0.14555977295638434,0.26148212336240945,0.01471090169695937,0.20399003214287903,0.32724264279153487,,,,0.14758456218828403
Non-breeding,106,8.851529474637259,1.4094046860661322,9.884400995493857,0.9392438264023767,13.578777027028023,0.3251780067715194,0.12007914968689219,0.23389306635760976,0.01341672109056464,0.15413463988810086,0.5412904346647596,,,,0.13777278605510634
Non-breeding,108,13.812347897574616,1.3035968654187589,12.71933467999887,0.625665236869172,9.591854786549229,0.2970949617126376,0.14004967993475623,0.23818508016960216,0.009550916757294373,0.05300702056194651,0.7226993313003638,5.4451930819611505,0.0638699328989132,0.08055722582721006,0.08408815481345468
Non-breeding,110,9.05157559774881,1.2100174562856705,7.883191308835114,0.7352411669176199,11.367831848900632,0.3007942208811555,0.14142002567742254,0.23151026459798357,0.01169157803293671,0.05506484868702772,0.8080519767924037,,,,0.0760023022165831
Non-breeding,112,4.643121097155146,1.1291693811237558,3.6041661025632123,0.7869611145777159,12.226981750784393,0.31513345423302797,0.12373117528845283,0.26066317004518885,0.012970791245897102,0.05130891086243645,0.805361702986351,,,,0.07325211670706606
Non-breeding,114,0.5673263954556644,1.060366084185775,0.5522828063053232,0.7785781341537075,12.056172612996786,0.3087561485386535,0.1406304577272858,0.23470087878905452,0.013259260323984228,0.04721534934571452,0.7892710907010158,,,,0.052279631235485104
Non-breeding,116,2.0636339606262424,1.0025863784311646,1.879737832887708,0.8000116578471598,12.372707244941894,0.29620005036783226,0.15645124728008286,0.2427914808393851,0.013964335500778951,0.06019726153357524,0.7673408890794287,,,,0.03198348771146722
Non-breeding,118,3.900771809804724,0.9540522133174525,3.2589444038169284,0.8465092501743008,13.00809518892035,0.2906570003725624,0.14943736196198326,0.21204814126656413,0.015319437925172956,0.07699425604355553,0.8249532820327535,5.033070396753877,0.05417915973319439,0.0850818133416457,0.04273099472720794
Non-breeding,120,3.6098786451709066,0.9119477020133808,4.385225165954989,0.8570392109958554,13.070263789645828,0.2916926848062184,0.1967232924793781,0.21418174572818066,0.015357192751267613,0.10995521553706854,0.9188985993324605,,,,0.04551213101648776
Non-breeding,122,5.752605564708348,0.8730439184260979,6.58783201325851,0.9630511051711123,14.871622661355486,0.3056660179244937,0.18449753907703528,0.21278790198079983,0.017359234742392284,0.1389001120898897,0.9814775918817122,,,,0.05129224479226429
Non-breeding,124,0.5401410837187128,0.8316163581767501,1.1871185210322799,1.08196073936975,15.929111930034308,0.3090458100298708,0.18995674759930253,0.22102774539330514,0.020843926602751774,0.351031232986345,0.935099098672728,,,,0.0865553507430089
Non-breeding,126,0.22643309199351105,0.7833281739847754,0.9373670639111596,0.9777241830361306,13.970125362324431,0.3347832047236171,0.2010152655487051,0.17847795948997894,0.02018462924763725,0.32130804890348685,0.9596319418880217,,,,0.10828787117835086
Non-breeding,128,0.20470422694551135,0.7261534624625422,0.5221802472194415,0.9654807813780498,13.773731124283314,0.3314357954789617,0.19779327842866049,0.1854179856402667,0.020487664057424092,0.3174267102709174,0.9479160068020012,1.5495592331490367,0.004713008478696405,0.030700574807621308,0.11342516225008603
Non-breeding,130,6.0145750134431015,0.6601564690823614,5.845551436997734,0.8944528437266545,12.68011447970716,0.3325839318378326,0.19426208372764947,0.1774430579573768,0.019745897523046882,0.28290067254925755,0.8497313297686314,,,,0.11194137792705242
Non-breeding,132,2.6356904569718007,0.5617896009590283,2.2004254318740846,1.0410490866892836,14.386981357092262,0.32207799452237396,0.1593009497822102,0.14915225927788348,0.023458246025026046,0.38176297644345497,0.9957190347245568,,,,0.11672199778051005
Non-breeding,134,3.9476132084830615,0.45581976173970873,3.7482529366394153,1.057505226597483,14.50139435726199,0.3133984878712734,0.1822298818620604,0.14599007397172797,0.02454700422782048,0.4307833283589592,1.1431542930871026,,,,0.11916230728983453
Non-breeding,136,1.4971108953590353,0.3456118715717444,1.3056550398024462,1.1731232907143574,15.752427579557654,0.32686774513198863,0.15460213237094877,0.11653453586301843,0.028175540362933852,0.5158818228919914,1.3275124835444994,,,,0.13801165423970602
Non-breeding,138,0.8114076347751789,0.23388693319631795,0.5996320019183998,1.0932968638291793,14.515873773641307,0.2996826331033531,0.13251496486524914,0.07911610760626774,0.027800905609982513,0.49804392405765413,1.2044968265325608,0.9140021716967707,0.023869234336404924,0.021508094226798474,0.13506264881335023
Non-breeding,140,3.344882577583414,0.12427623383994295,3.257270906864657,1.0238304529233417,13.458141849830525,0.27575002599127874,0.1655405051279685,0.11111427051412998,0.027894505905402867,0.5262218355354992,1.0896570792730222,,,,0.14715750218666682
Non-breeding,142,3.5625728137560833,0.052128429109806855,3.5355329097799757,0.8505917937379981,10.287469408783206,0.27330391939163357,0.16553677781220283,0.057155294220675924,0.02602568823238998,0.6615240929661831,1.4459375367008949,,,,0.12571039713904766
