Realisation number,Variable,index,Standard deviation,Variance,Kurtosis,Lag-3 AC,Lag-1 AC,Smax,Coefficient of variation,Smax/Var,Skewness,Lag-2 AC
48,x,0,-0.9586166811973261,-0.9586166811973261,0.8715489683231616,0.5691950014530659,0.9399011915140946,-0.7777777777777777,0.8894507410636441,0.7777777777777777,0.6445219412961347,0.9299040976460329
49,x,0,-0.9646614356291773,-0.9646614356291773,0.6416158093577446,-0.07689625108979946,0.9143272304562625,-0.6888888888888888,0.9129322871258354,0.8666666666666666,0.2533565823888404,0.8002906131938388
50,x,0,-0.9658238884045334,-0.9658238884045334,0.16070909619296714,0.4952630049404242,0.9395524556814877,-0.8222222222222221,0.8966579482708513,0.3333333333333333,0.42702702702702694,0.8549258936355709
51,x,0,-0.9910491136297586,-0.9910491136297586,0.26997965707643123,0.5969776227840743,0.6692821854112175,-0.9555555555555554,0.6242952630049403,0.911111111111111,0.02516710258645742,0.1497820401046207
52,x,0,-0.9772159256030223,-0.9772159256030223,0.3747166521360069,0.5965126416739319,0.9256030223772157,-0.7777777777777777,0.8156349898285381,0.6888888888888888,0.6237140366172622,0.8582970066841032
53,x,0,-0.9922115664051145,-0.9922115664051145,0.5582679453647195,-0.5788433594885207,0.528741644870677,-0.9999999999999999,0.2634699215344376,0.19999999999999998,-0.1183958151700087,-0.32659110723626844
54,x,0,-0.979889566986341,-0.979889566986341,0.3969195001453065,0.810985178727114,0.9515257192676545,-0.24444444444444444,0.8705027608253413,0.9555555555555554,0.7283347863993024,0.8760825341470501
55,x,0,-0.9755884917175237,-0.9755884917175237,0.7263586166811972,0.6318512060447543,0.9054925893635569,-0.3333333333333333,0.9093286835222317,0.7777777777777777,-0.6855565242662016,0.8439988375472245
56,x,0,-0.9918628305725078,-0.9918628305725078,0.2606800348735832,0.5073525138041266,0.8698052891601277,-0.8666666666666666,-0.054693403080499844,0.6888888888888888,0.5972101133391454,0.7111304853240337
57,x,0,-0.9875617553036905,-0.9875617553036905,0.7240337111304852,0.42319093286835213,0.9502470212147629,-0.7777777777777777,0.8879395524556812,0.8666666666666666,-0.22545771578029639,0.8480674222609705
58,x,0,-0.9727986050566694,-0.9727986050566694,0.10026155187445508,0.8222609706480672,0.9146759662888693,-0.9999999999999999,0.6638186573670444,0.6444444444444444,0.2518453937808776,0.6402208660273175
59,x,0,-0.9800058122638765,-0.9800058122638765,0.7320546352804416,0.7091543156059283,0.9158384190642254,-0.911111111111111,0.8821272885789013,0.6,-0.17070619006102875,0.7880848590526007
60,x,0,-0.9700087183958149,-0.9700087183958149,0.6166230746875907,0.7519325777390292,0.8688753269398428,-0.8222222222222221,0.8001743679163031,0.7333333333333333,0.7904097646033129,0.828421970357454
61,x,0,-0.9672188317349605,-0.9672188317349605,0.3618134263295553,0.30415576867189764,0.9230456262714325,-0.5555555555555555,0.7428654460912524,0.7777777777777777,-0.06887532693984305,0.9296716070909617
62,x,0,-0.972914850334205,-0.972914850334205,0.26393490264458,0.8141238012205753,0.9056088346410925,-0.9555555555555554,0.8775937227550129,0.3333333333333333,0.5808195292066258,0.6967160709096192
63,x,0,-0.9881429816913685,-0.9881429816913685,-0.10746875908166229,0.6034873583260678,0.8954954954954953,-0.911111111111111,0.20441732054635275,0.5111111111111111,0.2774193548387096,0.8495786108689333
64,x,0,-0.9811682650392326,-0.9811682650392326,-0.18698052891601274,0.80633536762569,0.9389712292938097,-0.7333333333333333,0.7246149375181632,0.8222222222222221,0.2526591107236268,0.8426038942167973
65,x,0,-0.9819819819819817,-0.9819819819819817,-0.12246439988375468,0.1303690787561755,0.916535890729439,-0.8666666666666666,0.7111304853240337,0.6444444444444444,0.3864574251671025,0.7940133682069165
66,x,0,-0.9788433594885206,-0.9788433594885206,-0.2961348445219412,-0.2576576576576576,0.9318802673641382,-0.9555555555555554,0.6086021505376343,0.6888888888888888,0.4489973844812553,0.7654170299331587
67,x,0,-0.9839581517000869,-0.9839581517000869,0.2340598663179308,0.5296716070909618,0.9404824179017726,-0.9555555555555554,0.9038651554780585,0.6888888888888888,-0.5896541702993315,0.8895669863411797
68,x,0,-0.9795408311537342,-0.9795408311537342,0.8314443475733796,0.512467306015693,0.9083987213019469,-0.8666666666666666,0.9297878523684973,0.8222222222222221,0.22243533856437075,0.8821272885789013
69,x,0,-0.9661726242371401,-0.9661726242371401,0.10409764603312989,0.5369950595757046,0.8844521941296133,-0.8666666666666666,0.8902644580063933,0.6888888888888888,-0.3132229003196745,0.7630921243824468
70,x,0,-0.9902353966870094,-0.9902353966870094,0.6534728276663759,0.6055797733217086,0.9126997965707642,-0.7777777777777777,0.5800058122638767,0.6444444444444444,0.5622202848009298,0.4149375181633245
71,x,0,-0.9834931705899446,-0.9834931705899446,-0.16501017146178434,0.77146178436501,0.7792502179598952,-0.8222222222222221,0.4300494042429525,0.7333333333333333,0.1192095321127579,0.4018018018018017
72,x,0,-0.9783783783783782,-0.9783783783783782,-0.030630630630630623,-0.15605928509154313,0.9446672478930541,-0.9555555555555554,0.5703574542284219,0.7777777777777777,0.5907003777971519,0.18825922696890435
73,x,0,-0.9883754722464397,-0.9883754722464397,0.5976750944492879,0.7472827666376052,0.8584132519616389,-0.8222222222222221,0.726707352513804,0.6444444444444444,0.6499854693403079,0.747050276082534
74,x,0,-0.9814007555943038,-0.9814007555943038,0.41656495204882293,0.27834931705899446,0.9425748328974134,-0.911111111111111,0.7606509735541992,0.6444444444444444,0.3639058413251961,0.6970648067422259
75,x,0,-0.9912816041848298,-0.9912816041848298,0.8018018018018016,0.46341179889566975,0.8522522522522521,-0.7333333333333333,0.7971519907003777,0.6888888888888888,-0.08793955245568147,0.9218831734960765
76,x,0,-0.977564661435629,-0.977564661435629,0.7706480674222608,0.7009009009009007,0.7776227840743968,-0.5111111111111111,0.7808776518453936,0.7333333333333333,0.5259517582098227,0.814472537053182
77,x,0,-0.985353095030514,-0.985353095030514,-0.021679744260389416,0.8252833478639928,0.9050276082534146,-0.8222222222222221,0.4878233071781458,0.7777777777777777,0.467712874164487,0.5768671897704154
78,x,0,-0.9773321708805578,-0.9773321708805578,0.4228421970357453,0.2881139203719848,0.6834641092705608,-0.8222222222222221,0.7472827666376052,0.8666666666666666,0.4107526881720429,0.5557105492589363
79,x,0,-0.9782621331008426,-0.9782621331008426,0.5907003777971519,0.7723917465852949,0.8875908166230746,0.4666666666666666,0.8839872130194709,0.9999999999999999,0.783667538506248,0.8386515547805868
80,x,0,-0.9725661145015981,-0.9725661145015981,0.5925603022377215,0.7555361813426329,0.952571926765475,-0.4666666666666666,0.8224934612031385,0.7777777777777777,0.8796861377506536,0.8756175530369077
81,x,0,-0.9755884917175237,-0.9755884917175237,0.597326358616681,0.20627724498692235,0.9522231909328682,-0.8222222222222221,0.9360650973554198,0.911111111111111,-0.6611450159837255,0.916535890729439
82,x,0,-0.9768671897704153,-0.9768671897704153,0.5741935483870967,0.7163615228131356,0.7258936355710548,-0.911111111111111,0.8623655913978493,0.7333333333333333,0.34949142691078167,0.7573961057832024
83,x,0,-0.9764022086602729,-0.9764022086602729,0.5696599825632083,-0.6106945655332751,0.8387678000581225,-0.911111111111111,0.8559721011333913,0.6,0.7250799186283056,0.29311246730601564
84,x,0,-0.9654751525719266,-0.9654751525719266,0.7600697471665212,-0.6317349607672188,0.8387678000581225,-0.7777777777777777,0.8796861377506536,0.37777777777777777,0.7297297297297296,0.5916303400174366
