,rb,rnb,x,y,x_num,y_num
241,0.7,-0.6,16.393472711699793,8.8983586337738,16.393472711699793,8.8983586337738
242,0.7,-0.5,30.232833636389074,17.968353579634652,30.232833636389074,17.968353579634652
243,0.7,-0.4,41.725449276250444,27.196049808635976,41.725449276250444,27.196049808635976
244,0.7,-0.3,51.084364007183076,36.567130738717296,51.084364007183076,36.567130738717296
245,0.7,-0.2,58.52355933578137,46.067216812635486,58.52355933578137,46.067216812635486
246,0.7,-0.1,64.25362731748538,55.68215624426499,64.25362731748538,55.68215624426499
247,0.7,0.0,68.47804172521438,65.39827559606559,68.47804172521438,65.39827559606559
248,0.8,-3.0,Extinct,Extinct,,
249,0.8,-2.9,Extinct,Extinct,,
250,0.8,-2.8,Extinct,Extinct,,
251,0.8,-2.7,Extinct,Extinct,,
252,0.8,-2.6,Extinct,Extinct,,
253,0.8,-2.5,Extinct,Extinct,,
254,0.8,-2.4,Extinct,Extinct,,
255,0.8,-2.3,Extinct,Extinct,,
256,0.8,-2.2,Extinct,Extinct,,
257,0.8,-2.1,Extinct,Extinct,,
258,0.8,-2.0,Extinct,Extinct,,
259,0.8,-1.9,Extinct,Extinct,,
260,0.8,-1.8,Extinct,Extinct,,
261,0.8,-1.7,Extinct,Extinct,,
262,0.8,-1.6,Extinct,Extinct,,
263,0.8,-1.5,Extinct,Extinct,,
264,0.8,-1.4,Extinct,Extinct,,
265,0.8,-1.3,Extinct,Extinct,,
266,0.8,-1.2,Extinct,Extinct,,
267,0.8,-1.1,Extinct,Extinct,,
268,0.8,-1.0,Extinct,Extinct,,
269,0.8,-0.9,Extinct,Extinct,,
270,0.8,-0.8,0.09660348403045606,0.043403925641925016,0.09660348403045606,0.043403925641925016
271,0.8,-0.7,17.92631654490454,8.795351528182431,17.92631654490454,8.795351528182431
272,0.8,-0.6,33.11624454531959,17.77458836655455,33.11624454531959,17.77458836655455
273,0.8,-0.5,45.77659784561133,26.92381262477493,45.77659784561133,26.92381262477493
274,0.8,-0.4,56.12384189981937,36.228477824332145,56.12384189981937,36.228477824332145
275,0.8,-0.3,64.37890926157048,45.67373729762248,64.37890926157048,45.67373729762248
276,0.8,-0.2,70.76227479931798,55.24477513348583,70.76227479931798,55.24477513348583
277,0.8,-0.1,75.4895410403368,64.92710284208938,75.4895410403368,64.92710284208938
278,0.8,0.0,78.76771084748037,74.70680983104933,78.76771084748037,74.70680983104933
279,0.9,-3.0,Extinct,Extinct,,
280,0.9,-2.9,Extinct,Extinct,,
281,0.9,-2.8,Extinct,Extinct,,
282,0.9,-2.7,Extinct,Extinct,,
283,0.9,-2.6,Extinct,Extinct,,
284,0.9,-2.5,Extinct,Extinct,,
285,0.9,-2.4,Extinct,Extinct,,
286,0.9,-2.3,Extinct,Extinct,,
287,0.9,-2.2,Extinct,Extinct,,
288,0.9,-2.1,Extinct,Extinct,,
289,0.9,-2.0,Extinct,Extinct,,
290,0.9,-1.9,Extinct,Extinct,,
291,0.9,-1.8,Extinct,Extinct,,
292,0.9,-1.7,Extinct,Extinct,,
293,0.9,-1.6,Extinct,Extinct,,
294,0.9,-1.5,Extinct,Extinct,,
295,0.9,-1.4,Extinct,Extinct,,
296,0.9,-1.3,Extinct,Extinct,,
297,0.9,-1.2,Extinct,Extinct,,
298,0.9,-1.1,Extinct,Extinct,,
299,0.9,-1.0,Extinct,Extinct,,
300,0.9,-0.9,0.10532864566598975,0.04282040065774239,0.10532864566598975,0.04282040065774239
