Realisation number,Variable,index,Lag-1 AC,Lag-2 AC,Coefficient of variation,Kurtosis,Smax/Var,Lag-3 AC,Variance,Standard deviation,Skewness,Smax,Cross correlation
14,Total,0,0.9789507772020726,0.9518566493955096,0.9729058721934369,-0.19937392055267703,0.8210526315789474,0.4937392055267703,-0.9575777202072538,-0.9575777202072538,0.2123272884283247,0.3263157894736842,0.8719775474956822
15,Non-breeding,0,0.9098661485319516,0.699373920552677,0.922279792746114,0.2754749568221071,0.6526315789473685,0.7838946459412781,-0.8258851468048359,-0.8258851468048359,0.5684369602763386,0.24210526315789474,0.7166450777202072
15,Breeding,0,0.878346286701209,0.7856217616580311,0.3545984455958549,-0.43944300518134716,0.6421052631578947,0.08085060449050087,-0.9834844559585492,-0.9834844559585492,0.4588730569948187,-0.6000000000000001,0.7166450777202072
15,Total,0,0.9479706390328152,0.7687823834196892,0.6948402417962003,-0.7353195164075994,0.7999999999999999,0.35556994818652854,-0.864961139896373,-0.864961139896373,0.6386010362694301,0.031578947368421054,0.7166450777202072
16,Non-breeding,0,0.9534758203799655,0.6332037996545768,0.9267055267702936,-0.07825993091537133,0.45263157894736844,0.8810449050086356,-0.528605354058722,-0.528605354058722,-0.37737478411053543,0.15789473684210525,0.7560449050086356
16,Breeding,0,0.7937176165803109,0.7799006908462868,0.6729274611398964,-0.0454447322970639,0.5684210526315789,0.8066709844559586,-0.9793825561312609,-0.9793825561312609,0.16645077720207255,-0.8105263157894737,0.7560449050086356
16,Total,0,0.9067357512953369,0.7751511226252159,0.8779145077720207,-0.32523747841105355,0.631578947368421,0.8542746113989638,-0.9045768566493956,-0.9045768566493956,-0.2823834196891192,-0.22105263157894736,0.7560449050086356
17,Non-breeding,0,0.8365716753022453,0.6356865284974094,0.8778065630397237,0.481325561312608,0.4736842105263158,0.288860103626943,-0.9159110535405872,-0.9159110535405872,0.2876727115716753,-0.25263157894736843,0.5902417962003454
17,Breeding,0,0.8371113989637305,0.518566493955095,0.7443868739205527,0.6735751295336788,0.6631578947368422,0.6560880829015544,-0.98639896373057,-0.98639896373057,0.42594991364421414,-0.7578947368421053,0.5902417962003454
17,Total,0,0.8786701208981003,0.7339162348877375,0.8707901554404145,0.5437176165803109,0.8421052631578948,0.6601899827288429,-0.9484024179620035,-0.9484024179620035,0.36452936096718486,-0.7368421052631579,0.5902417962003454
18,Non-breeding,0,0.941062176165803,0.7067141623488774,0.9604922279792746,0.6142055267702937,0.5894736842105264,0.5722150259067358,-0.8676597582037996,-0.8676597582037996,-0.12284110535405873,-0.24210526315789474,0.9318868739205528
18,Breeding,0,0.9202288428324699,0.5181347150259068,0.8836355785837652,0.5698402417962004,0.5473684210526316,0.5195379965457686,-0.9840241796200345,-0.9840241796200345,0.44958981001727116,-0.8736842105263158,0.9318868739205528
18,Total,0,0.9694516407599311,0.7571243523316062,0.9765759930915373,-0.016191709844559588,0.6631578947368422,0.6844775474956822,-0.9397668393782384,-0.9397668393782384,-0.5032383419689119,-0.5789473684210527,0.9318868739205528
19,Non-breeding,0,0.9596286701208981,0.7764464594127807,0.9693436960276339,0.10880829015544043,0.6631578947368422,-0.246545768566494,-0.9123488773747841,-0.9123488773747841,-0.1349309153713299,-0.17894736842105263,0.5656303972366148
19,Breeding,0,0.9246545768566494,0.45444732297063906,0.6636442141623489,-0.01543609671848014,0.631578947368421,-0.6939766839378239,-0.9751727115716754,-0.9751727115716754,0.3949697754749568,-0.7263157894736842,0.5656303972366148
19,Total,0,0.9676165803108808,0.707793609671848,0.8670120898100173,-0.32091968911917096,0.6842105263157895,-0.4521804835924007,-0.9601683937823834,-0.9601683937823834,0.36053540587219346,-0.3368421052631579,0.5656303972366148
20,Non-breeding,0,0.8780224525043179,0.4119170984455959,0.8663644214162349,-0.4277849740932642,0.5578947368421052,-0.0048575129533678756,-0.621545768566494,-0.621545768566494,-0.3740284974093264,0.2105263157894737,0.6624568221070812
20,Breeding,0,0.8701424870466321,0.35697322970639034,0.1633203799654577,0.4772236614853195,0.6000000000000001,-0.11852331606217616,-0.988126079447323,-0.988126079447323,0.048683074265975824,-0.8421052631578948,0.6624568221070812
20,Total,0,0.9300518134715026,0.8680915371329879,0.7288428324697754,-0.2539939550949914,0.5578947368421052,0.31595423143350604,-0.9365284974093264,-0.9365284974093264,-0.14842400690846289,-0.631578947368421,0.6624568221070812
21,Non-breeding,0,0.9165587219343696,0.7542098445595855,0.9196891191709845,-0.08948618307426598,0.7052631578947369,-0.1920336787564767,-0.8693868739205527,-0.8693868739205527,-0.6962435233160622,0.39999999999999997,0.8773747841105354
21,Breeding,0,0.9368523316062177,0.31465889464594127,0.7943652849740933,0.2858376511226252,0.8315789473684211,0.3636658031088083,-0.9810017271157168,-0.9810017271157168,-0.1944084628670121,-0.6842105263157895,0.8773747841105354
21,Total,0,0.9627590673575129,0.9031735751295338,0.9484024179620035,-0.4330742659758204,0.7578947368421053,0.2862694300518135,-0.9275690846286702,-0.9275690846286702,-0.6078367875647668,0.2631578947368421,0.8773747841105354
22,Non-breeding,0,0.9720423143350606,0.9336139896373057,0.979814335060449,0.49611398963730574,0.5473684210526316,0.7959844559585493,-0.6774611398963731,-0.6774611398963731,0.3977763385146805,0.28421052631578947,0.8854706390328152
22,Breeding,0,0.9382556131260795,0.6173359240069085,0.7691062176165804,0.4328583765112263,0.35789473684210527,0.6568436960276339,-0.9748488773747842,-0.9748488773747842,0.6517702936096719,-0.9157894736842106,0.8854706390328152
