,rb,rnb,x_equi,y_equi
252,0.6000000000000001,-1.0,3.6709055975702974e-68,1.3504506998272805e-68
253,0.6000000000000001,-0.95,1.5599251149103494e-59,6.03287035452809e-60
254,0.6000000000000001,-0.8999999999999999,6.511011470829268e-51,2.6471797182621935e-51
255,0.6000000000000001,-0.8499999999999999,2.6503699433325267e-42,1.1328076889684225e-42
256,0.6000000000000001,-0.7999999999999998,1.0395029270537002e-33,4.670787734098589e-34
257,0.6000000000000001,-0.7499999999999998,3.8393501780709484e-25,1.8135806083809753e-25
258,0.6000000000000001,-0.6999999999999997,1.2677971136105326e-16,6.295694148081586e-17
259,0.6000000000000001,-0.6499999999999997,3.166394933987405e-08,1.6530031027409205e-08
260,0.6000000000000001,-0.5999999999999996,0.8031633480439062,0.4400779141214734
261,0.6000000000000001,-0.5499999999999996,16.0386311273542,8.961368909134588
262,0.6000000000000001,-0.49999999999999956,31.865775437176417,18.134224562823945
263,0.6000000000000001,-0.4499999999999995,47.4721372938316,27.527862706168772
264,0.6000000000000001,-0.39999999999999947,62.84786511119484,37.152134888805534
265,0.6000000000000001,-0.3499999999999994,77.9825134080205,47.01748659197985
266,0.6000000000000001,-0.2999999999999994,92.86500239656023,57.13499760344016
267,0.6000000000000001,-0.24999999999999933,107.48357529006225,67.5164247099382
268,0.6000000000000001,-0.1999999999999993,121.82575338706329,78.17424661293713
269,0.6000000000000001,-0.14999999999999925,135.8782890969563,89.12171090304417
270,0.6000000000000001,-0.0999999999999992,149.6271171810909,100.37288281890957
271,0.6000000000000001,-0.049999999999999156,163.05730462737458,111.94269537262592
272,0.6000000000000001,8.881784197001252e-16,176.15299976258157,123.84700023741898
273,0.65,-1.0,1.5921810234518957e-59,5.857306651512585e-60
274,0.65,-0.95,6.64325543350577e-51,2.5692194054236977e-51
275,0.65,-0.8999999999999999,2.7031389495747735e-42,1.0990142829601763e-42
276,0.65,-0.8499999999999999,1.0597457348235843e-33,4.529511511325756e-34
277,0.65,-0.7999999999999998,3.9123013736076773e-25,1.7579103235175211e-25
278,0.65,-0.7499999999999998,1.2912467951043468e-16,6.099417973413238e-17
279,0.65,-0.6999999999999997,3.2233238897135745e-08,1.600655272888335e-08
280,0.65,-0.6499999999999997,0.8173007561003798,0.425971544942677
281,0.65,-0.5999999999999996,16.32727829719982,8.672721739198856
282,0.65,-0.5499999999999996,32.45295462109301,17.547045378907274
283,0.65,-0.49999999999999956,48.36819675383266,26.631803246167614
284,0.65,-0.4499999999999995,64.06363787672328,35.93636212327707
285,0.65,-0.39999999999999947,79.52933854502544,45.47066145497485
286,0.65,-0.3499999999999994,94.75474584384997,55.24525415615039
287,0.65,-0.2999999999999994,109.72864981042335,65.27135018957696
288,0.65,-0.24999999999999933,124.43913705286796,75.56086294713242
289,0.65,-0.1999999999999993,138.87354157280498,86.12645842719546
290,0.65,-0.14999999999999925,153.01839287292745,96.98160712707299
291,0.65,-0.0999999999999992,166.8593615312848,108.14063846871561
292,0.65,-0.049999999999999156,180.38120255896436,119.61879744103607
293,0.65,8.881784197001252e-16,193.56769703657886,131.43230296342165
294,0.7000000000000001,-1.0,6.77213143724037e-51,2.491327928671544e-51
295,0.7000000000000001,-0.95,2.7545934065126707e-42,1.0653142732357312e-42
296,0.7000000000000001,-0.8999999999999999,1.0794993793565813e-33,4.388916953551932e-34
