Realisation number,Variable,index,Coefficient of variation,Lag-1 AC,Variance,Smax,Smax/Var,Lag-3 AC,Standard deviation,Skewness,Kurtosis,Smax/Mean,Lag-2 AC,Cross correlation
39,Non-breeding,0,0.8911051212938007,0.9317349978720386,-0.9828060717832316,-0.846153846153846,0.4871794871794871,-0.095190807206696,-0.9828060717832316,0.5031919421194496,-0.07027947226556959,0.15384615384615383,0.6634416229252377,-0.1511852818136836
39,Breeding,0,0.8156334231805932,0.9545467442190383,-0.9920556107249257,-0.9230769230769229,0.9230769230769229,-0.08174209107674849,-0.9920556107249257,0.5135196481770464,0.9256632146403746,0.6923076923076922,0.706908781387431,-0.1511852818136836
40,Non-breeding,0,0.8836146971201589,0.958745921407292,-0.9820683784934034,-0.7948717948717947,0.564102564102564,0.6036884664491418,-0.9820683784934034,0.5451837140019862,-0.2676408001134913,0.25641025641025633,0.6347283302596113,-0.31022746015323943
40,Breeding,0,0.9140303589161585,0.8997872038587035,-0.9907504610583062,-0.7435897435897434,0.6923076923076922,0.680635551142006,-0.9907504610583062,-0.3076464746772592,0.35610724925521353,0.5897435897435896,0.5223152220173075,-0.31022746015323943
41,Non-breeding,0,0.8756135622074055,0.9498936019293517,-0.9826358348701945,-0.7948717948717947,0.12820512820512817,0.8605759682224431,-0.9826358348701945,-0.07935877429422614,0.28772875585189395,-0.025641025641025637,0.43390551851326437,-0.5348387386982142
41,Breeding,0,0.882536530004256,0.9542062703929637,-0.9954603489856717,-0.9230769230769229,0.5128205128205127,0.6852319477940134,-0.9954603489856717,0.06199460916442049,0.852915307135764,-0.15384615384615383,0.24993616115761103,-0.5348387386982142
42,Non-breeding,0,0.8774861682508158,0.9547737267697547,-0.9548304724074338,-0.8717948717948716,0.7435897435897434,0.3949780110653994,-0.9548304724074338,0.23121010072350692,-0.2623067101716556,0.4358974358974358,0.7293233082706767,-0.2747214850134197
42,Breeding,0,0.78544474393531,0.9635693006100158,-0.9849056603773586,-0.9999999999999998,0.6923076923076922,0.668548730316357,-0.9849056603773586,0.613108242303873,0.21220031210100726,0.025641025641025637,0.4186409419775855,-0.2747214850134197
43,Non-breeding,0,0.9326996737125834,0.9699815576677544,-0.9864945382323735,-0.8974358974358972,-0.05128205128205127,0.6976592424457371,-0.9864945382323735,0.3411264009079302,0.11159029649595689,-0.15384615384615383,-0.07306000851184566,-0.13325236531570028
43,Breeding,0,0.8713008937437935,0.9156759824088524,-0.9885941268265003,-0.7435897435897434,0.5384615384615383,0.3553695559653852,-0.9885941268265003,0.7279614129663782,0.033621790324868776,0.12820512820512817,0.3873173499787204,-0.13325236531570028
44,Non-breeding,0,0.9393956589587176,0.9693573556532843,-0.9721946375372394,0.4102564102564102,0.8974358974358972,0.7364732586182438,-0.9721946375372394,0.32285430557525896,0.21577528727479078,0.8205128205128204,0.8219889346006526,-0.08939468909780636
44,Breeding,0,0.9294084267271954,0.9718541637111648,-0.9848489147396795,-0.6410256410256409,0.5384615384615383,0.8450844091360478,-0.9848489147396795,0.5700383033054335,0.3722230103560789,0.4358974358974358,0.6743367853596255,-0.08939468909780636
45,Non-breeding,0,0.7803376365441906,0.9734997872038588,-0.9800822811746348,-0.9487179487179485,-0.25641025641025633,0.6832458504752448,-0.9800822811746348,-0.07181160448290538,0.25362462760675275,-0.3589743589743589,0.48230954745353954,0.34405409863104075
