Realisation number,Variable,index,Coefficient of variation,Lag-2 AC,Kurtosis,Standard deviation,Smax/Var,Skewness,Lag-1 AC,Lag-3 AC,Variance,Smax,Cross correlation
9,Total,0,0.9941205291523761,0.875061244487996,-0.6032990364200554,0.6741793238608524,0.6,-0.21051772007186018,0.9645598562796014,0.7190919483913113,0.6741793238608524,0.7999999999999999,0.8955601564297218
10,Non-breeding,0,0.9914285714285713,0.8993506493506492,-0.19467532467532467,0.8027272727272727,0.8823529411764707,-0.1405194805194805,0.9796103896103895,0.8798701298701298,0.8027272727272727,0.9215686274509804,0.9062001227747084
10,Breeding,0,0.9276190476190476,0.8999014778325122,0.4298850574712643,-0.9523152709359605,0.9477124183006538,-0.1213136288998358,0.9599343185550082,0.9268308702791461,-0.9523152709359605,0.47712418300653603,0.9055245189323401
10,Total,0,0.9554545454545453,0.921038961038961,0.07415584415584414,0.5406493506493506,0.9215686274509804,-0.2448051948051948,0.9794805194805194,0.9379220779220778,0.5406493506493506,0.8562091503267976,0.9062001227747084
11,Non-breeding,0,0.9835711799512705,0.726557605290637,-0.6861816916115558,0.6449704142011835,0.5735294117647058,0.4254089801601114,0.8126000696136443,0.1821789070657849,0.6449704142011835,0.764705882352941,-0.10607553366174055
11,Breeding,0,0.9384333615102847,0.7152719075795999,0.8334742180896029,-0.9530853761622993,0.5294117647058822,-0.2986756832910679,0.8298112144265991,0.5030994646379262,-0.9530853761622993,-0.13235294117647056,-0.0970699621287622
11,Total,0,0.9617124956491473,0.7584406543682564,0.17215454229028893,-0.33505046989209886,0.5735294117647058,-0.505743125652628,0.8673163940132267,0.4604942568743474,-0.33505046989209886,0.41176470588235287,-0.10607553366174055
12,Non-breeding,0,0.9765886287625418,0.9279078409513193,-0.11222593831289483,0.4381270903010034,0.7904761904761906,0.6715904868078781,0.9653474544778894,0.9170382757339279,0.4381270903010034,0.7238095238095239,0.9005226326512535
12,Breeding,0,0.963697762769101,0.9222362928568079,0.4261995215984241,-0.9735472069790347,0.8190476190476191,0.6163406969654331,0.9488766943389149,0.8470052999390273,-0.9735472069790347,-0.40952380952380957,0.8985960833407853
12,Total,0,0.9697138610182088,0.95958751393534,0.02452619843924192,-0.04905239687848384,0.761904761904762,0.7779635823114084,0.9761241174284653,0.911371237458194,-0.04905239687848384,0.5333333333333333,0.9005226326512535
13,Non-breeding,0,0.980467636156259,0.6037924151696608,-0.590818363273453,0.5148274878813801,0.07352941176470587,0.7352437981180496,0.8433133732534931,0.17422298260621616,0.5148274878813801,0.5588235294117646,0.8280682887484877
13,Breeding,0,0.9449140602986759,0.7218934911242605,0.8160045083122007,-0.9774584389969007,0.2352941176470588,-0.02592279515356439,0.9026486334178643,0.6143984220907298,-0.9774584389969007,-0.5147058823529411,0.8295129891701548
13,Total,0,0.9667246780368953,0.7045596936999652,-0.42791507135398543,0.060355029585798824,0.1176470588235294,-0.12509571876087713,0.8671771667246782,0.3772363383223112,0.060355029585798824,0.2205882352941176,0.830935960591133
14,Non-breeding,0,0.9938471502590674,0.8999352331606217,-0.5998488773747842,0.8838514680483593,0.8526315789473685,0.6595423143350605,0.9335060449050087,0.7926381692573402,0.8838514680483593,0.9052631578947369,0.8822745218684306
14,Breeding,0,0.9765488656195463,0.8144633507853403,-0.10078534031413613,-0.9149214659685864,0.7368421052631579,0.4833115183246074,0.9095767888307156,0.7264397905759162,-0.9149214659685864,-0.031578947368421054,0.8839738941261783
14,Total,0,0.9937392055267703,0.9136442141623489,-0.3013816925734024,0.5662780656303973,0.7894736842105264,0.5751295336787565,0.9502374784110535,0.8693868739205527,0.5662780656303973,0.7578947368421053,0.8822745218684306
15,Non-breeding,0,0.9892263953314381,0.8110130181056412,-0.33966781385605266,0.8196917551997606,0.5588235294117646,0.2599132126290588,0.9645368846326501,0.6347448750561127,0.8196917551997606,0.7941176470588235,0.9350521273598198
15,Breeding,0,0.9903052336590169,0.9029008558660909,0.7829281223964251,-0.8827539195637354,0.7499999999999999,-0.21639021434522454,0.9534954177080965,0.8350374914792091,-0.8827539195637354,-0.1176470588235294,0.9329911605360708
15,Total,0,0.9859344605715997,0.9281759688762532,0.23387700134670059,0.5311985635193776,0.676470588235294,0.06149932664970822,0.9652850516235224,0.8345054616190334,0.5311985635193776,0.7352941176470588,0.9350521273598198
16,Non-breeding,0,0.9813523875914955,0.9315092366678286,-0.7804112931334961,0.9297664691530151,0.75,0.3968281631230394,0.9269780411293135,0.8677239456256537,0.9297664691530151,0.9,0.9003756328597092
16,Breeding,0,0.9902869757174393,0.9026931567328919,0.6453863134657837,-0.7932008830022075,0.8166666666666667,0.6822958057395144,0.9491390728476821,0.9046357615894041,-0.7932008830022075,0.5666666666666667,0.8989247311827957
16,Total,0,0.9817009410944582,0.9412687347507843,-0.32328337399790874,0.815963750435692,0.7333333333333334,0.09672359707215059,0.9606134541652145,0.9264552108748694,0.815963750435692,0.8166666666666667,0.9003756328597092
17,Non-breeding,0,0.979090909090909,0.7906493506493506,-0.34896103896103897,0.7257142857142856,0.607843137254902,0.22805194805194803,0.9406493506493506,0.6638961038961039,0.7257142857142856,0.8169934640522877,0.2741559238796808
17,Breeding,0,0.9402298850574712,0.4867651888341543,0.7069293924466339,-0.9776683087027914,0.7908496732026145,0.6109031198686371,0.8477504105090311,0.5930377668308703,-0.9776683087027914,-0.7385620915032681,0.26790813159528243
17,Total,0,0.9611688311688311,0.8494805194805194,0.508051948051948,-0.5755844155844155,0.7516339869281047,-0.1122077922077922,0.942077922077922,0.774025974025974,-0.5755844155844155,0.7385620915032681,0.2741559238796808
