Growth rate,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Coefficient of variation,Skewness,Kurtosis,AIC fold,AIC hopf,AIC null,Coherence factor,Params fold,Params hopf,Params null,Smax,Smax/Var,Cross correlation
0.2,29.969284164394253,30.007745891543852,-0.038461727149599056,0.1757017588780602,0.030871108072844003,0.85092808367465,0.7027605679887733,0.5930947194092414,0.005848805353957175,0.22459213898871125,0.6966827177885869,6.655571304634066e-20,1.0,1.4239373779630281e-32,0.0037314233953214173,"{'sigma': 0.07434923729303804, 'lam': -0.38805347025433745}","{'sigma': 0.02795988771932656, 'mu': -0.07316120021819628, 'w0': 0.2161553599362771, 'delta': 3.8768988019910466e-13, 'psi': 0.2}",{'sigma': 0.07616491208960063},0.007462846790642835,0.24174210958133965,0.8056012309146818
0.21,32.0339926567032,31.92599554730544,0.10799710939775764,0.1944758327729013,0.037820849532713474,0.8611196752722158,0.7151102089225791,0.589748871435729,0.006062476428254026,-0.06732023048957964,-0.30388283133535077,3.5029190747362256e-10,0.999999999649708,1.7422830764825673e-27,0.0043100038979217315,"{'sigma': 0.08048898497136678, 'lam': -0.3700444518171211}","{'sigma': 0.03087149915296017, 'mu': -0.07377074952589302, 'w0': 0.2179562783270441, 'delta': 1.3504974916145329e-11, 'psi': 0.2}",{'sigma': 0.08437854012020851},0.008620007795843463,0.22791682107477548,0.8422314050977571
0.22,34.08140027104814,34.10473230478402,-0.02333203373588333,0.17693939121027857,0.031307548161864006,0.8376190604928815,0.6680214789470422,0.5220422566790669,0.005193123300909448,0.21011025419009047,0.17422171955505497,7.585766558556864e-09,0.9999999924142334,1.768420047691817e-25,0.003555701025895441,"{'sigma': 0.079071702950029, 'lam': -0.4048036011607796}","{'sigma': 0.028785076282813016, 'mu': -0.07486808067505302, 'w0': 0.22119835215728392, 'delta': 5.588818297042053e-11, 'psi': 0.2}",{'sigma': 0.07926123799670051},0.007111402051790882,0.2271465659023833,0.8012591508709738
0.23,36.068409532200334,36.16399346300259,-0.09558393080225613,0.2016893094942408,0.04067857756426365,0.8641648862939815,0.729443289220268,0.6028635253620129,0.005597995139155485,0.1418644350125594,-0.3331949937092419,1.0932267769420587e-20,1.0,8.16968518639725e-36,0.005546816661261605,"{'sigma': 0.08728212160086488, 'lam': -0.35788673609986255}","{'sigma': 0.03477613209234409, 'mu': -0.07364979092450774, 'w0': 0.21759890516709327, 'delta': 2.3236967905404526e-11, 'psi': 0.2}",{'sigma': 0.09210946277031615},0.01109363332252321,0.27271438646048,0.7832307455069588
0.24,37.968147858084286,38.17052589211414,-0.20237803402985577,0.1697121317282069,0.028802207655732253,0.8270261239844039,0.6576247246503193,0.4975087004439892,0.004468569215024492,-0.1421692369921244,0.04888191141376578,1.5119360548187245e-15,0.9999999999999984,4.0565704225596296e-29,0.0031500653440345605,"{'sigma': 0.08368551766660602, 'lam': -0.44511865953271723}","{'sigma': 0.030245072490488134, 'mu': -0.0795518954502259, 'w0': 0.2350367208769056, 'delta': 1.06314956838105e-12, 'psi': 0.2}",{'sigma': 0.07854484645274919},0.006300130688069121,0.21873777049917426,0.7656901946800279
0.25,39.88213958050666,39.92138414100389,-0.03924456049723091,0.17049645160189245,0.029069040008836453,0.7938115039428277,0.5814383166356335,0.4192489924226925,0.004273266427967674,-0.1766928520092204,0.38132192286911504,3.2802585401092215e-10,0.9999999996719742,1.1508979873485507e-22,0.002998935632767025,"{'sigma': 0.08701116846347864, 'lam': -0.49317129731520293}","{'sigma': 0.028902106929704408, 'mu': -0.07896819818704137, 'w0': 0.23331218262804626, 'delta': 5.448641537952881e-11, 'psi': 0.2}",{'sigma': 0.07842531631494715},0.00599787126553405,0.20633193472198624,0.7530538047949659
0.26,41.904695949682335,42.002424209284044,-0.09772825960170906,0.17614926690259272,0.031028564230320844,0.8250673967330833,0.6474127830813199,0.5069267925665696,0.004214607518126663,0.26054817381194456,0.184441953657305,1.0985555728575112e-15,0.9999999999999989,8.075414749982922e-30,0.0037542039475525727,"{'sigma': 0.08117961360656532, 'lam': -0.4111618726150117}","{'sigma': 0.02989881032603048, 'mu': -0.07550918387700412, 'w0': 0.22309249671940312, 'delta': 3.6421976545852885e-12, 'psi': 0.2}",{'sigma': 0.08049261553237955},0.007508407895105145,0.24198373599794198,0.8123016348239331
0.27,43.49446138704692,43.447663116739555,0.046798270307363055,0.1615390126447751,0.026094852606248813,0.7952366399539915,0.5866185141905486,0.41399414899023723,0.003699296306946183,0.009320921980714032,-0.28119662846249843,0.9999995826076337,4.1739236557379013e-07,6.874699568732396e-16,0.002631349028379035,"{'sigma': 0.0809699268788394, 'lam': -0.47687075757369923}","{'sigma': 0.030857986036184393, 'mu': -0.11532093679428868, 'w0': 0.3407166442129834, 'delta': 3.283791016883697e-10, 'psi': 0.2}",{'sigma': 0.07454032229215603},0.00526269805675807,0.20167571498364534,0.7395564707164675
0.28,45.72604680899642,45.6211308475867,0.10491596140972348,0.1601468424080235,0.02564701113326031,0.7876858027719867,0.576927869188386,0.4054894055619331,0.0035141177760356188,-0.3359735271966581,0.2351053182078013,0.9999999992534516,7.465483843521666e-10,1.1477362655432961e-19,0.0,"{'sigma': 0.08180869623255849, 'lam': -0.5036514658605715}","{'sigma': 0.03157727877292449, 'mu': -0.12138632819382167, 'w0': 0.3586368921458394, 'delta': 1.350701772651064e-10, 'psi': 0.2}",{'sigma': 0.07331046900660873},0.004428424238901358,0.1726682386454911,0.7457981577080993
0.29,47.526724284253376,47.435556325140546,0.09116795911283049,0.17027980057609796,0.02899521048423569,0.8166656334415375,0.6216489309082152,0.4594717412500567,0.0035928880684207814,0.2375159858850934,0.502490729890201,7.774865311350258e-09,0.9999999922251347,1.2175991547185615e-22,0.0030368726829983943,"{'sigma': 0.08356761132549785, 'lam': -0.4695318266809676}","{'sigma': 0.02828192399125906, 'mu': -0.07762608982068242, 'w0': 0.22934691269154547, 'delta': 1.8105295040982128e-10, 'psi': 0.2}",{'sigma': 0.07703953273178761},0.006073745365996789,0.20947409122272118,0.7488663686717896
