,Time,Non-breeding,Breeding,rnb
0,981,1.9149182506057744e-71,1.7198894675993073e-72,-2.41
1,982,1.6155491546943886e-71,1.4510102322482216e-72,-2.41
2,983,1.362981981297684e-71,1.2241662814691719e-72,-2.41
3,984,1.1498999432756861e-71,1.0327860213391659e-72,-2.41
4,985,9.701301247478737e-72,8.713252292764162e-73,-2.41
5,986,8.184646537700418e-72,7.351064397532897e-73,-2.41
6,987,6.90509832013525e-72,6.201834396732797e-73,-2.41
7,988,5.825588507836902e-72,5.232269478880719e-73,-2.41
8,989,4.914844060030221e-72,4.4142816702827576e-73,-2.41
9,990,4.146481012505222e-72,3.724174135763881e-73,-2.41
10,991,3.4982401429356056e-72,3.1419546892222304e-73,-2.41
11,992,2.9513421285998744e-72,2.6507566266368205e-73,-2.41
12,993,2.489943515638394e-72,2.236350103253202e-73,-2.41
13,994,2.1006777394564203e-72,1.8867298997064164e-73,-2.41
14,995,1.7722678997866069e-72,1.5917676348027274e-73,-2.41
15,996,1.495200072633126e-72,1.3429183496799025e-73,-2.41
16,997,1.2614476950529257e-72,1.1329729631866131e-73,-2.41
17,998,1.0642390382927575e-72,9.558494271954953e-74,-2.41
18,999,8.978610330559709e-73,8.064165316886459e-74,-2.41
19,1000,7.574937637822053e-73,6.803452553073933e-74,-2.41
0,981,3.3046325473871365e-67,2.997895010725385e-68,-2.4
1,982,2.8160221000715382e-67,2.554637613362431e-68,-2.4
2,983,2.3996557421675486e-67,2.176918575286262e-68,-2.4
3,984,2.0448517363451816e-67,1.8550476430153625e-68,-2.4
4,985,1.74250770648332e-67,1.5807673272319514e-68,-2.4
5,986,1.4848671193055193e-67,1.347041059701426e-68,-2.4
6,987,1.265320293156349e-67,1.1478726725070342e-68,-2.4
7,988,1.0782348288660889e-67,9.781525684009154e-69,-2.4
8,989,9.188111124652837e-68,8.335266358241875e-69,-2.4
9,990,7.829591827204268e-68,7.102845456554828e-69,-2.4
10,991,6.671938045692729e-68,6.052645639790072e-69,-2.4
11,992,5.685450566004423e-68,5.157724388760532e-69,-2.4
12,993,4.844821387295101e-68,4.3951228030818373e-69,-2.4
13,994,4.128484453834186e-68,3.7452765983899536e-69,-2.4
14,995,3.5180623851783635e-68,3.1915141912784994e-69,-2.4
15,996,2.9978950107253983e-68,2.719628995495495e-69,-2.4
16,997,2.5546376133624426e-68,2.3175149568039032e-69,-2.4
17,998,2.1769185752862716e-68,1.9748559762767443e-69,-2.4
18,999,1.8550476430153707e-68,1.6828612542870318e-69,-2.4
19,1000,1.5807673272319582e-68,1.4340397655325823e-69,-2.4
0,981,5.682528640733046e-63,5.2068830297523626e-64,-2.39
1,982,4.890997727342774e-63,4.48160575602013e-64,-2.39
2,983,4.209720756600756e-63,3.8573538213989776e-64,-2.39
3,984,3.6233402337284e-63,3.320055201971778e-64,-2.39
4,985,3.118637840471867e-63,2.8575979945086153e-64,-2.39
