,Time,Non-breeding,Breeding,rnb
14,995,4.210555369633197e-55,3.9360577398729016e-56,-2.37
15,996,3.6972694317129454e-55,3.456234317221906e-56,-2.37
16,997,3.2465553948693978e-55,3.034903562143402e-56,-2.37
17,998,2.8507854584653175e-55,2.6649349512026576e-56,-2.37
18,999,2.5032616856131733e-55,2.340067204351563e-56,-2.37
19,1000,2.19810264853543e-55,2.054802320188159e-56,-2.37
0,981,4.409468554860586e-50,4.163430051270133e-51,-2.36
1,982,3.9108477763675254e-50,3.692631199313845e-51,-2.36
2,983,3.4686108177502108e-50,3.275070075930837e-51,-2.36
3,984,3.0763818212808747e-50,2.904726582023873e-51,-2.36
4,985,2.7285059084391585e-50,2.5762613686725504e-51,-2.36
5,986,2.4199676518982037e-50,2.284938858200601e-51,-2.36
6,987,2.1463187666629498e-50,2.0265589699872808e-51,-2.36
7,988,1.9036139778629348e-50,1.7973965666941924e-51,-2.36
8,989,1.6883541405870798e-50,1.594147747886333e-51,-2.36
9,990,1.4974357917027144e-50,1.41388221674702e-51,-2.36
10,991,1.3281064063328745e-50,1.2540010331438903e-51,-2.36
11,992,1.177924713911608e-50,1.1121991439597463e-51,-2.36
12,993,1.0447255016824166e-50,9.864321504772272e-52,-2.36
13,994,9.265883982017206e-51,8.748868336931074e-52,-2.36
14,995,8.218101867901217e-51,7.759550126171821e-52,-2.36
15,996,7.288802497665037e-51,6.882103586632988e-52,-2.36
16,997,6.464587894374185e-51,6.103878318589248e-52,-2.36
17,998,5.733575118474804e-51,5.413654423991567e-52,-2.36
18,999,5.085224948028303e-51,4.8014807459623735e-52,-2.36
19,1000,4.510189931710248e-51,4.258531400097973e-52,-2.36
0,981,7.433181331200455e-46,7.088962761528513e-47,-2.35
1,982,6.658897570338258e-46,6.350534825623186e-47,-2.35
2,983,5.9652677469521275e-46,5.689025874182636e-47,-2.35
3,984,5.343890473903129e-46,5.096423574677978e-47,-2.35
4,985,4.7872395018083645e-46,4.565550206126489e-47,-2.35
5,986,4.2885725595598796e-46,4.0899757210582096e-47,-2.35
6,987,3.841849690549744e-46,3.663939863457976e-47,-2.35
7,988,3.4416600954728647e-46,3.282282399359356e-47,-2.35
8,989,3.083156595612501e-46,2.940380615029103e-47,-2.35
9,990,2.7619969228143133e-46,2.634093325707271e-47,-2.35
10,991,2.4742911250410326e-46,2.35971071672533e-47,-2.35
11,992,2.216554450473008e-46,2.113909409467587e-47,-2.35
12,993,1.9856651394771584e-46,1.8937122079255907e-47,-2.35
13,994,1.7788266132119808e-46,1.6964520382875012e-47,-2.35
14,995,1.5935336008892069e-46,1.5197396447913166e-47,-2.35
15,996,1.4275417954185458e-46,1.3614346505674824e-47,-2.35
16,997,1.2788406698984266e-46,1.219619632953852e-47,-2.35
17,998,1.1456291257004903e-46,1.0925768992778834e-47,-2.35
18,999,1.0262936771924166e-46,9.787676818095648e-48,-2.35
19,1000,9.193889088679628e-47,8.768134998900591e-48,-2.35
0,981,1.243240927115796e-41,1.1975846226055315e-42,-2.34
1,982,1.1249309104880898e-41,1.0836193777979586e-42,-2.34
2,983,1.0178795805148847e-41,9.804993599404383e-43,-2.34
3,984,9.210155315046143e-42,8.871925092344175e-43,-2.34
4,985,8.333693154976525e-42,8.027649793565148e-43,-2.34
5,986,7.54063739705291e-42,7.263717912106395e-43,-2.34
6,987,6.823050872694758e-42,6.572483760931904e-43,-2.34
7,988,6.173751734777128e-42,5.9470292363249e-43,-2.34
8,989,5.586241579290765e-42,5.381094579180589e-43,-2.34
9,990,5.054640407130579e-42,4.869015725233064e-43,-2.34
10,991,4.5736277750882657e-42,4.405667617196372e-43,-2.34
11,992,4.138389547068418e-42,3.986412911468605e-43,-2.34
