Variable,rb,rnb,State variable,Smoothing,Residuals,Standard deviation,Variance,Lag-1 AC,Lag-2 AC,Lag-3 AC,Coefficient of variation,Skewness,Kurtosis,Smax,Smax/Var,Smax/Mean
Non-breeding,0.8,-0.7,14.654505437743834,18.283979486332335,-3.6294740485885004,1.5521127003768567,2.409053834671138,0.892882826473234,0.8033816059142265,0.7235678721724624,0.08751086138438718,-0.00937011259258325,-0.28198881296247336,0.37396570138532836,0.15523343480465587,0.021084848186926526
Breeding,0.8,-0.7,7.135560520840648,8.985407720999135,-1.8498472001584867,0.8293754543448689,0.6878636442697578,0.8934216366664655,0.8039262267762595,0.7253769997681209,0.09532276348539796,0.02957615728597032,-0.29714378137479386,0.10676922670642902,0.15521859251592834,0.01227132740851982
Non-breeding,0.8,-0.6,28.823594724559065,33.4003932152656,-4.576798490706537,1.7596001966783121,3.096192852150355,0.7885736988223333,0.6296809005297874,0.5030087610751679,0.053369581278853356,-0.07860217894483008,-0.12938695232414135,0.4827063403792652,0.15590318931329422,0.014640732204577489
Breeding,0.8,-0.6,15.456722034537984,17.954781592715406,-2.498059558177422,1.124827189165657,1.2652362054863124,0.7900880687877302,0.6320633505247809,0.5092259097911492,0.06357256584046042,-0.02029389352773476,-0.15633950517434012,0.19850052793371017,0.15688811865560987,0.011218779207135144
Non-breeding,0.8,-0.5,41.41674792002024,46.003040917248704,-4.586292997228462,1.741570945951407,3.0330693597820786,0.6875854261505324,0.4797286968831052,0.33345121820125195,0.038140763924822386,-0.08253521543285644,-0.05443021970954238,0.3866714406365819,0.127485195612,0.00846818452505485
Breeding,0.8,-0.5,24.39410827697711,27.099753502621002,-2.7056452256438916,1.3329753985844526,1.77682341323138,0.689848059174234,0.4839621625224014,0.3447589799696017,0.049640066125366346,-0.015809112791520773,-0.0673625257861051,0.23015642772418884,0.1295325275490489,0.008571036122301689
Non-breeding,0.8,-0.4,52.14948800534221,56.29326249688207,-4.143774491539865,1.645996750094067,2.7093053013202306,0.5892340556775301,0.35114836430919943,0.20569064836491285,0.029375829705259836,-0.05912703985203082,-0.009744252723152477,0.29663998212559917,0.10948931520602274,0.005294084328049204
Breeding,0.8,-0.4,33.739121877450096,36.39664545864716,-2.6575235811970614,1.4972540974221773,2.241769832247499,0.5916662398102149,0.35683044025637406,0.2222435528463416,0.04140020771819352,0.0021918757922597546,0.0067044621473399445,0.24529202579583806,0.1094189163701606,0.006782509954087477
Non-breeding,0.8,-0.3,61.02784008381738,64.49731585490161,-3.469475771084234,1.5488648693819747,2.3989823836056416,0.493241753896717,0.2426789146968004,0.11279277828105579,0.024086193189064638,-0.01767274187030997,0.002013493356950692,0.22746836334684625,0.0948186884994812,0.003537330500728994
Breeding,0.8,-0.3,43.40125416116134,45.830814832896465,-2.429560671735125,1.6403376552980824,2.6907076233888105,0.49509988080404027,0.24913125380953036,0.13422283879963298,0.035959047628371585,0.023151797171406658,0.0660325649768249,0.253492410811139,0.09421031427111284,0.0055569934911553565
Non-breeding,0.8,-0.2,68.10147327511582,70.84166630226947,-2.7401930271536514,1.4943118701662823,2.2329679653198524,0.39930251895312974,0.15375728090871663,0.04922597257200075,0.021135452351198604,0.029194160871110434,-0.008914068280591726,0.18113343447747096,0.08111779357816504,0.002561939813261027
