r,Frequency,0
0.2,-0.7853981633974483,0.025006248138309154
0.2,-0.6283185307179586,0.03964116336880812
0.2,-0.471238898038469,0.0620584051605972
0.2,-0.3141592653589793,0.11988849351195545
0.2,-0.15707963267948966,0.1546790890715097
0.2,0.0,0.05903845152771496
0.2,0.15707963267948966,0.1546790890715097
0.2,0.3141592653589793,0.11988849351195545
0.2,0.471238898038469,0.0620584051605972
0.2,0.6283185307179586,0.03964116336880812
0.2,0.7853981633974483,0.025006248138309154
0.2,0.942477796076938,0.018665234461914103
0.2,1.0995574287564276,0.014473285270695503
0.2,1.2566370614359172,0.012460841003000496
0.2,1.413716694115407,0.011211956619102563
0.2,1.5707963267948966,0.008507952285659436
0.2,1.7278759594743864,0.007591223618585873
0.2,1.884955592153876,0.007035015035210496
0.2,2.0420352248333655,0.006420349393118393
0.2,2.199114857512855,0.006013047515747539
0.2,2.356194490192345,0.005060742082927048
0.2,2.5132741228718345,0.004752274326393181
0.2,2.6703537555513246,0.004904599943743582
0.2,2.827433388230814,0.004674339987336303
0.2,2.9845130209103035,0.004278173262756848
0.2,3.141592653589793,0.004475204235341038
0.25,-3.141592653589793,0.005842909132889092
0.25,-2.9845130209103035,0.005572295149464193
0.25,-2.827433388230814,0.006055706542988027
0.25,-2.6703537555513246,0.006314503856951409
0.25,-2.5132741228718345,0.006117730732840725
0.25,-2.356194490192345,0.006509425521516696
0.25,-2.199114857512855,0.007741605066975368
0.25,-2.0420352248333655,0.008266248502589066
0.25,-1.884955592153876,0.009047976381101112
0.25,-1.7278759594743864,0.009773976751338238
0.25,-1.5707963267948966,0.010927762427129012
0.25,-1.413716694115407,0.014364589935475434
0.25,-1.2566370614359172,0.015916663632994616
0.25,-1.0995574287564276,0.01831899934941179
0.25,-0.942477796076938,0.023387145821783657
0.25,-0.7853981633974483,0.030880346621619013
0.25,-0.6283185307179586,0.04757843298027791
0.25,-0.471238898038469,0.07064689372964235
0.25,-0.3141592653589793,0.12271567686088582
0.25,-0.15707963267948966,0.14236121877379432
0.25,0.0,0.05358214893878059
0.25,0.15707963267948966,0.14236121877379432
0.25,0.3141592653589793,0.12271567686088582
0.25,0.471238898038469,0.07064689372964235
0.25,0.6283185307179586,0.04757843298027791
0.25,0.7853981633974483,0.030880346621619013
0.25,0.942477796076938,0.023387145821783657
0.25,1.0995574287564276,0.01831899934941179
0.25,1.2566370614359172,0.015916663632994616
0.25,1.413716694115407,0.014364589935475434
0.25,1.5707963267948966,0.010927762427129012
0.25,1.7278759594743864,0.009773976751338238
0.25,1.884955592153876,0.009047976381101112
0.25,2.0420352248333655,0.008266248502589066
0.25,2.199114857512855,0.007741605066975368
0.25,2.356194490192345,0.006509425521516696
0.25,2.5132741228718345,0.006117730732840725
0.25,2.6703537555513246,0.006314503856951409
0.25,2.827433388230814,0.006055706542988027
0.25,2.9845130209103035,0.005572295149464193
0.25,3.141592653589793,0.005842909132889092
0.3,-3.141592653589793,0.007286651836898509
0.3,-2.9845130209103035,0.006936892194642893
0.3,-2.827433388230814,0.007508549885616649
0.3,-2.6703537555513246,0.007791465686200333
0.3,-2.5132741228718345,0.007546064649242084
0.3,-2.356194490192345,0.008020297317703666
0.3,-2.199114857512855,0.009542505145517525
0.3,-2.0420352248333655,0.01018598338444251
0.3,-1.884955592153876,0.0111309900726072
0.3,-1.7278759594743864,0.01202321842206187
0.3,-1.5707963267948966,0.013402272143262867
0.3,-1.413716694115407,0.01755205970925826
0.3,-1.2566370614359172,0.019364987873561085
0.3,-1.0995574287564276,0.022055979915286867
0.3,-0.942477796076938,0.02782887176230417
0.3,-0.7853981633974483,0.036082462927081616
0.3,-0.6283185307179586,0.05383791621476939
0.3,-0.471238898038469,0.0757409593217902
0.3,-0.3141592653589793,0.12009387042026423
0.3,-0.15707963267948966,0.12820216065212978
0.3,0.0,0.04775440376575904
0.3,0.15707963267948966,0.12820216065212978
0.3,0.3141592653589793,0.12009387042026423
0.3,0.471238898038469,0.0757409593217902
0.3,0.6283185307179586,0.05383791621476939
0.3,0.7853981633974483,0.036082462927081616
0.3,0.942477796076938,0.02782887176230417
0.3,1.0995574287564276,0.022055979915286867
0.3,1.2566370614359172,0.019364987873561085
0.3,1.413716694115407,0.01755205970925826
0.3,1.5707963267948966,0.013402272143262867
0.3,1.7278759594743864,0.01202321842206187
0.3,1.884955592153876,0.0111309900726072
0.3,2.0420352248333655,0.01018598338444251
0.3,2.199114857512855,0.009542505145517525
0.3,2.356194490192345,0.008020297317703666
